file_name,predicted_label,raw_label,confidence
SE_Stark_St27.jpg,uncertain,no_pole,0.6479
SE_Stark_St28.jpg,pole,pole,0.9492
SE_Stark_St29.jpg,no_pole,no_pole,0.7726
SE_Stark_St3.jpg,pole,pole,0.9969
SE_Stark_St30.jpg,no_pole,no_pole,0.9592
SE_Stark_St31.jpg,no_pole,no_pole,0.9534
SE_Stark_St32.jpg,uncertain,no_pole,0.5514
SE_Stark_St33.jpg,no_pole,no_pole,0.8083
SE_Stark_St34.jpg,no_pole,no_pole,0.952
SE_Stark_St35.jpg,uncertain,no_pole,0.6128
SE_Stark_St36.jpg,uncertain,pole,0.6187
SE_Stark_St37.jpg,pole,pole,0.8037
SE_Stark_St38.jpg,pole,pole,0.9148
SE_Stark_St39.jpg,pole,pole,0.9186
SE_Stark_St4.jpg,uncertain,no_pole,0.5722
SE_Stark_St40.jpg,pole,pole,0.9981
SE_Stark_St41.jpg,pole,pole,0.9993
SE_Stark_St42.jpg,uncertain,no_pole,0.5079
SE_Stark_St43.jpg,pole,pole,0.8677
SE_Stark_St44.jpg,pole,pole,0.9827
SE_Stark_St45.jpg,no_pole,no_pole,0.8705
SE_Stark_St46.jpg,no_pole,no_pole,0.9236
SE_Stark_St47.jpg,pole,pole,0.9747
SE_Stark_St48.jpg,no_pole,no_pole,0.977
SE_Stark_St49.jpg,no_pole,no_pole,0.8217
SE_Stark_St5.jpg,no_pole,no_pole,0.8305
SE_Stark_St50.jpg,no_pole,no_pole,0.8997
SE_Stark_St51.jpg,uncertain,pole,0.5679
SE_Stark_St52.jpg,pole,pole,0.7683
SE_Stark_St53.jpg,no_pole,no_pole,0.9917
SE_Stark_St54.jpg,no_pole,no_pole,0.9915
SE_Stark_St55.jpg,no_pole,no_pole,0.9825
SE_Stark_St56.jpg,no_pole,no_pole,0.9711
SE_Stark_St57.jpg,pole,pole,0.9695
SE_Stark_St58.jpg,no_pole,no_pole,0.8872
SE_Stark_St59.jpg,no_pole,no_pole,0.8005
SE_Stark_St6.jpg,pole,pole,0.9998
SE_Stark_St60.jpg,no_pole,no_pole,0.8247
SE_Stark_St61.jpg,uncertain,pole,0.7155
SE_Stark_St62.jpg,uncertain,no_pole,0.7276
SE_Stark_St63.jpg,no_pole,no_pole,0.7597
SE_Stark_St64.jpg,pole,pole,0.9836
SE_Stark_St65.jpg,pole,pole,0.9836
SE_Stark_St66.jpg,uncertain,no_pole,0.6119
SE_Stark_St67.jpg,uncertain,no_pole,0.62
SE_Stark_St68.jpg,no_pole,no_pole,0.9726
SE_Stark_St69.jpg,no_pole,no_pole,0.99
SE_Stark_St7.jpg,pole,pole,0.9983
SE_Stark_St70.jpg,pole,pole,0.9979
SE_Stark_St71.jpg,pole,pole,0.9979
SE_Stark_St72.jpg,pole,pole,0.9402
SE_Stark_St73.jpg,uncertain,no_pole,0.5059
SE_Stark_St74.jpg,no_pole,no_pole,0.9992
SE_Stark_St75.jpg,pole,pole,0.9922
SE_Stark_St76.jpg,no_pole,no_pole,0.9791
SE_Stark_St77.jpg,no_pole,no_pole,0.9994
SE_Stark_St78.jpg,no_pole,no_pole,0.9579
SE_Stark_St79.jpg,no_pole,no_pole,0.9912
