epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.80244,0.671,0.5,1,0.8405,0.00018337,0.00018337,0.00018337
2,19.1034,0.40537,0.775,1,0.4493,0.000368227,0.000368227,0.000368227
3,27.9951,0.26129,0.575,1,0.71585,0.000537241,0.000537241,0.000537241
4,36.633,0.33539,0.425,1,1.48019,0.000690411,0.000690411,0.000690411
5,47.2619,0.2119,0.675,1,0.82762,0.000827739,0.000827739,0.000827739
6,56.2442,0.13467,0.525,1,0.97226,0.000949223,0.000949223,0.000949223
7,64.9929,0.16245,0.5,1,1.06628,0.00105486,0.00105486,0.00105486
8,73.3792,0.12372,0.5,1,1.13511,0.00114466,0.00114466,0.00114466
9,81.9785,0.15658,0.525,1,1.14437,0.00113889,0.00113889,0.00113889
10,90.5429,0.04772,0.5,1,2.1518,0.00107288,0.00107288,0.00107288
11,99.11,0.03657,0.575,1,1.69547,0.00100687,0.00100687,0.00100687
12,107.68,0.09483,0.425,1,1.97672,0.000940855,0.000940855,0.000940855
13,116.258,0.08592,0.475,1,2.36573,0.000874842,0.000874842,0.000874842
14,124.837,0.15935,0.6,1,0.98117,0.000808828,0.000808828,0.000808828
15,133.195,0.11458,0.65,1,0.9419,0.000742815,0.000742815,0.000742815
16,142.085,0.15227,0.5,1,1.89722,0.000676802,0.000676802,0.000676802
17,151.102,0.04353,0.3,1,2.61654,0.000610789,0.000610789,0.000610789
18,161.024,0.13677,0.325,1,2.89752,0.000544776,0.000544776,0.000544776
19,172.372,0.08262,0.3,1,2.68519,0.000478762,0.000478762,0.000478762
20,184.88,0.05732,0.325,1,3.09405,0.000412749,0.000412749,0.000412749
21,197.172,0.11492,0.325,1,3.04229,0.000346736,0.000346736,0.000346736
22,209.44,0.05117,0.3,1,3.40329,0.000280723,0.000280723,0.000280723
23,220.836,0.07687,0.3,1,3.18374,0.00021471,0.00021471,0.00021471
24,229.801,0.21049,0.3,1,3.00919,0.000148696,0.000148696,0.000148696
25,238.421,0.04937,0.3,1,3.64744,8.26832e-05,8.26832e-05,8.26832e-05
